"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","IDX2015","A","2000",66.38031,
"AUS","CPI","TOT","IDX2015","A","2001",69.30578,
"AUS","CPI","TOT","IDX2015","A","2002",71.37218,
"AUS","CPI","TOT","IDX2015","A","2003",73.32249,
"AUS","CPI","TOT","IDX2015","A","2004",75.04063,
"AUS","CPI","TOT","IDX2015","A","2005",77.0606,
"AUS","CPI","TOT","IDX2015","A","2006",79.80032,
"AUS","CPI","TOT","IDX2015","A","2007",81.65777,
"AUS","CPI","TOT","IDX2015","A","2008",85.21012,
"AUS","CPI","TOT","IDX2015","A","2009",86.71929,
"AUS","CPI","TOT","IDX2015","A","2010",89.25006,
"AUS","CPI","TOT","IDX2015","A","2011",92.19875,
"AUS","CPI","TOT","IDX2015","A","2012",93.82401,
"AUS","CPI","TOT","IDX2015","A","2013",96.12259,
"AUS","CPI","TOT","IDX2015","A","2014",98.51405,
"AUS","CPI","TOT","IDX2015","A","2015",100,
"AUS","CPI","TOT","IDX2015","A","2016",101.277,
"AUS","CPI","TOT","IDX2015","A","2017",103.2505,
"AUS","CPI","TOT","IDX2015","A","2018",105.2241,
"CAN","CPI","TOT","IDX2015","A","2000",75.35555,
"CAN","CPI","TOT","IDX2015","A","2001",77.25836,
"CAN","CPI","TOT","IDX2015","A","2002",79.00316,
"CAN","CPI","TOT","IDX2015","A","2003",81.18251,
"CAN","CPI","TOT","IDX2015","A","2004",82.69028,
"CAN","CPI","TOT","IDX2015","A","2005",84.52068,
"CAN","CPI","TOT","IDX2015","A","2006",86.2128,
"CAN","CPI","TOT","IDX2015","A","2007",88.05636,
"CAN","CPI","TOT","IDX2015","A","2008",90.14353,
"CAN","CPI","TOT","IDX2015","A","2009",90.41348,
"CAN","CPI","TOT","IDX2015","A","2010",92.02002,
"CAN","CPI","TOT","IDX2015","A","2011",94.69976,
"CAN","CPI","TOT","IDX2015","A","2012",96.13511,
"CAN","CPI","TOT","IDX2015","A","2013",97.03713,
"CAN","CPI","TOT","IDX2015","A","2014",98.88728,
"CAN","CPI","TOT","IDX2015","A","2015",100,
"CAN","CPI","TOT","IDX2015","A","2016",101.4288,
"CAN","CPI","TOT","IDX2015","A","2017",103.0485,
"CAN","CPI","TOT","IDX2015","A","2018",105.3858,
"FRA","CPI","TOT","IDX2015","A","2000",79.92917,
"FRA","CPI","TOT","IDX2015","A","2001",81.23583,
"FRA","CPI","TOT","IDX2015","A","2002",82.79833,
"FRA","CPI","TOT","IDX2015","A","2003",84.53584,
"FRA","CPI","TOT","IDX2015","A","2004",86.34666,
"FRA","CPI","TOT","IDX2015","A","2005",87.85416,
"FRA","CPI","TOT","IDX2015","A","2006",89.32584,
"FRA","CPI","TOT","IDX2015","A","2007",90.655,
"FRA","CPI","TOT","IDX2015","A","2008",93.205,
"FRA","CPI","TOT","IDX2015","A","2009",93.28667,
"FRA","CPI","TOT","IDX2015","A","2010",94.715,
"FRA","CPI","TOT","IDX2015","A","2011",96.715,
"FRA","CPI","TOT","IDX2015","A","2012",98.605,
"FRA","CPI","TOT","IDX2015","A","2013",99.45667,
"FRA","CPI","TOT","IDX2015","A","2014",99.96167,
"FRA","CPI","TOT","IDX2015","A","2015",99.99917,
"FRA","CPI","TOT","IDX2015","A","2016",100.1825,
"FRA","CPI","TOT","IDX2015","A","2017",101.2167,
"FRA","CPI","TOT","IDX2015","A","2018",103.09,
"DEU","CPI","TOT","IDX2015","A","2000",79.94353,
"DEU","CPI","TOT","IDX2015","A","2001",81.52949,
"DEU","CPI","TOT","IDX2015","A","2002",82.68787,
"DEU","CPI","TOT","IDX2015","A","2003",83.54305,
"DEU","CPI","TOT","IDX2015","A","2004",84.93465,
"DEU","CPI","TOT","IDX2015","A","2005",86.24851,
"DEU","CPI","TOT","IDX2015","A","2006",87.60902,
"DEU","CPI","TOT","IDX2015","A","2007",89.62257,
"DEU","CPI","TOT","IDX2015","A","2008",91.9782,
"DEU","CPI","TOT","IDX2015","A","2009",92.26585,
"DEU","CPI","TOT","IDX2015","A","2010",93.28429,
