"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SHPRICE","TOT","IDX2015","A","2000",58.39348,
"AUS","SHPRICE","TOT","IDX2015","A","2001",60.10418,
"AUS","SHPRICE","TOT","IDX2015","A","2002",58.74305,
"AUS","SHPRICE","TOT","IDX2015","A","2003",55.8876,
"AUS","SHPRICE","TOT","IDX2015","A","2004",64.58505,
"AUS","SHPRICE","TOT","IDX2015","A","2005",78.48773,
"AUS","SHPRICE","TOT","IDX2015","A","2006",93.1991,
"AUS","SHPRICE","TOT","IDX2015","A","2007",113.0436,
"AUS","SHPRICE","TOT","IDX2015","A","2008",90.91701,
"AUS","SHPRICE","TOT","IDX2015","A","2009",74.28967,
"AUS","SHPRICE","TOT","IDX2015","A","2010",84.44459,
"AUS","SHPRICE","TOT","IDX2015","A","2011",81.73206,
"AUS","SHPRICE","TOT","IDX2015","A","2012",78.39472,
"AUS","SHPRICE","TOT","IDX2015","A","2013",92.30514,
"AUS","SHPRICE","TOT","IDX2015","A","2014",98.61111,
"AUS","SHPRICE","TOT","IDX2015","A","2015",100,
"AUS","SHPRICE","TOT","IDX2015","A","2016",96.06988,
"AUS","SHPRICE","TOT","IDX2015","A","2017",105.6478,
"AUS","SHPRICE","TOT","IDX2015","A","2018",109.2051,
"CAN","SHPRICE","TOT","IDX2015","A","2000",67.57355,
"CAN","SHPRICE","TOT","IDX2015","A","2001",54.24498,
"CAN","SHPRICE","TOT","IDX2015","A","2002",49.21868,
"CAN","SHPRICE","TOT","IDX2015","A","2003",49.66291,
"CAN","SHPRICE","TOT","IDX2015","A","2004",59.96645,
"CAN","SHPRICE","TOT","IDX2015","A","2005",70.4531,
"CAN","SHPRICE","TOT","IDX2015","A","2006",83.46551,
"CAN","SHPRICE","TOT","IDX2015","A","2007",95.00292,
"CAN","SHPRICE","TOT","IDX2015","A","2008",87.08011,
"CAN","SHPRICE","TOT","IDX2015","A","2009",70.862,
"CAN","SHPRICE","TOT","IDX2015","A","2010",84.18279,
"CAN","SHPRICE","TOT","IDX2015","A","2011",90.44307,
"CAN","SHPRICE","TOT","IDX2015","A","2012",84.37954,
"CAN","SHPRICE","TOT","IDX2015","A","2013",88.90343,
"CAN","SHPRICE","TOT","IDX2015","A","2014",102.0798,
"CAN","SHPRICE","TOT","IDX2015","A","2015",100,
"CAN","SHPRICE","TOT","IDX2015","A","2016",97.9147,
"CAN","SHPRICE","TOT","IDX2015","A","2017",108.4319,
"CAN","SHPRICE","TOT","IDX2015","A","2018",109.7048,
"FRA","SHPRICE","TOT","IDX2015","A","2000",107.0163,
"FRA","SHPRICE","TOT","IDX2015","A","2001",86.56432,
"FRA","SHPRICE","TOT","IDX2015","A","2002",67.74232,
"FRA","SHPRICE","TOT","IDX2015","A","2003",56.64857,
"FRA","SHPRICE","TOT","IDX2015","A","2004",67.68526,
"FRA","SHPRICE","TOT","IDX2015","A","2005",79.68758,
"FRA","SHPRICE","TOT","IDX2015","A","2006",96.82662,
"FRA","SHPRICE","TOT","IDX2015","A","2007",109.5464,
"FRA","SHPRICE","TOT","IDX2015","A","2008",82.29964,
"FRA","SHPRICE","TOT","IDX2015","A","2009",63.66751,
"FRA","SHPRICE","TOT","IDX2015","A","2010",72.88147,
"FRA","SHPRICE","TOT","IDX2015","A","2011",71.46297,
"FRA","SHPRICE","TOT","IDX2015","A","2012",67.53888,
"FRA","SHPRICE","TOT","IDX2015","A","2013",80.15208,
"FRA","SHPRICE","TOT","IDX2015","A","2014",89.15987,
"FRA","SHPRICE","TOT","IDX2015","A","2015",100,
"FRA","SHPRICE","TOT","IDX2015","A","2016",92.36328,
"FRA","SHPRICE","TOT","IDX2015","A","2017",108.9429,
"FRA","SHPRICE","TOT","IDX2015","A","2018",111.7813,
"DEU","SHPRICE","TOT","IDX2015","A","2000",88.42961,
"DEU","SHPRICE","TOT","IDX2015","A","2001",66.73634,
"DEU","SHPRICE","TOT","IDX2015","A","2002",51.15005,
"DEU","SHPRICE","TOT","IDX2015","A","2003",39.66995,
"DEU","SHPRICE","TOT","IDX2015","A","2004",48.79838,
"DEU","SHPRICE","TOT","IDX2015","A","2005",56.45248,
"DEU","SHPRICE","TOT","IDX2015","A","2006",70.41808,
"DEU","SHPRICE","TOT","IDX2015","A","2007",87.4803,
"DEU","SHPRICE","TOT","IDX2015","A","2008",69.57014,
"DEU","SHPRICE","TOT","IDX2015","A","2009",52.36926,
"DEU","SHPRICE","TOT","IDX2015","A","2010",63.39005,
"DEU","SHPRICE","TOT","IDX2015","A","2011",66.46419,
"DEU","SHPRICE","TOT","IDX2015","A","2012",66.70228,
"DEU","SHPRICE","TOT","IDX2015","A","2013",79.0173,
"DEU","SHPRICE","TOT","IDX2015","A","2014",88.42544,
"DEU","SHPRICE","TOT","IDX2015","A","2015",100,
"DEU","SHPRICE","TOT","IDX2015","A","2016",91.89334,
"DEU","SHPRICE","TOT","IDX2015","A","2017",109.5325,
"DEU","SHPRICE","TOT","IDX2015","A","2018",107.8782,
"ITA","SHPRICE","TOT","IDX2015","A","2000",162.5034,
"ITA","SHPRICE","TOT","IDX2015","A","2001",131.8802,
"ITA","SHPRICE","TOT","IDX2015","A","2002",104.597,
"ITA","SHPRICE","TOT","IDX2015","A","2003",94.35223,
"ITA","SHPRICE","TOT","IDX2015","A","2004",108.6336,
"ITA","SHPRICE","TOT","IDX2015","A","2005",129.2588,
"ITA","SHPRICE","TOT","IDX2015","A","2006",149.583,
"ITA","SHPRICE","TOT","IDX2015","A","2007",164.1244,
"ITA","SHPRICE","TOT","IDX2015","A","2008",113.8767,
"ITA","SHPRICE","TOT","IDX2015","A","2009",81.48241,
"ITA","SHPRICE","TOT","IDX2015","A","2010",86.48707,
"ITA","SHPRICE","TOT","IDX2015","A","2011",78.99458,
"ITA","SHPRICE","TOT","IDX2015","A","2012",66.67883,
"ITA","SHPRICE","TOT","IDX2015","A","2013",76.47511,
"ITA","SHPRICE","TOT","IDX2015","A","2014",90.6261,
"ITA","SHPRICE","TOT","IDX2015","A","2015",100,
"ITA","SHPRICE","TOT","IDX2015","A","2016",83.27406,
"ITA","SHPRICE","TOT","IDX2015","A","2017",101.2834,
"ITA","SHPRICE","TOT","IDX2015","A","2018",103.8973,
"JPN","SHPRICE","TOT","IDX2015","A","2000",99.7812,
"JPN","SHPRICE","TOT","IDX2015","A","2001",77.03285,
"JPN","SHPRICE","TOT","IDX2015","A","2002",63.11941,
"JPN","SHPRICE","TOT","IDX2015","A","2003",59.1783,
"JPN","SHPRICE","TOT","IDX2015","A","2004",72.16193,
"JPN","SHPRICE","TOT","IDX2015","A","2005",81.8038,
"JPN","SHPRICE","TOT","IDX2015","A","2006",104.9191,
"JPN","SHPRICE","TOT","IDX2015","A","2007",107.1417,
"JPN","SHPRICE","TOT","IDX2015","A","2008",76.60837,
"JPN","SHPRICE","TOT","IDX2015","A","2009",55.98055,
"JPN","SHPRICE","TOT","IDX2015","A","2010",57.14973,
"JPN","SHPRICE","TOT","IDX2015","A","2011",52.99961,
"JPN","SHPRICE","TOT","IDX2015","A","2012",49.61454,
"JPN","SHPRICE","TOT","IDX2015","A","2013",72.37885,
"JPN","SHPRICE","TOT","IDX2015","A","2014",81.49449,
"JPN","SHPRICE","TOT","IDX2015","A","2015",100,
"JPN","SHPRICE","TOT","IDX2015","A","2016",87.44472,
"JPN","SHPRICE","TOT","IDX2015","A","2017",104.6281,
"JPN","SHPRICE","TOT","IDX2015","A","2018",111.4699,
"KOR","SHPRICE","TOT","IDX2015","A","2000",36.46327,
"KOR","SHPRICE","TOT","IDX2015","A","2001",28.4725,
"KOR","SHPRICE","TOT","IDX2015","A","2002",37.63086,
"KOR","SHPRICE","TOT","IDX2015","A","2003",33.80238,
"KOR","SHPRICE","TOT","IDX2015","A","2004",41.4637,
"KOR","SHPRICE","TOT","IDX2015","A","2005",53.2842,
"KOR","SHPRICE","TOT","IDX2015","A","2006",67.28732,
"KOR","SHPRICE","TOT","IDX2015","A","2007",85.26386,
"KOR","SHPRICE","TOT","IDX2015","A","2008",76.32705,
"KOR","SHPRICE","TOT","IDX2015","A","2009",70.88448,
"KOR","SHPRICE","TOT","IDX2015","A","2010",87.60323,
"KOR","SHPRICE","TOT","IDX2015","A","2011",98.66551,
"KOR","SHPRICE","TOT","IDX2015","A","2012",96.0862,
"KOR","SHPRICE","TOT","IDX2015","A","2013",97.54976,
"KOR","SHPRICE","TOT","IDX2015","A","2014",98.57083,
"KOR","SHPRICE","TOT","IDX2015","A","2015",100,
"KOR","SHPRICE","TOT","IDX2015","A","2016",98.74598,
"KOR","SHPRICE","TOT","IDX2015","A","2017",114.8489,
"KOR","SHPRICE","TOT","IDX2015","A","2018",115.7041,
"MEX","SHPRICE","TOT","IDX2015","A","2000",15.16595,
"MEX","SHPRICE","TOT","IDX2015","A","2001",13.90508,
"MEX","SHPRICE","TOT","IDX2015","A","2002",14.86483,
"MEX","SHPRICE","TOT","IDX2015","A","2003",16.13303,
"MEX","SHPRICE","TOT","IDX2015","A","2004",23.95524,
"MEX","SHPRICE","TOT","IDX2015","A","2005",32.5174,
"MEX","SHPRICE","TOT","IDX2015","A","2006",47.28329,
"MEX","SHPRICE","TOT","IDX2015","A","2007",67.61674,
"MEX","SHPRICE","TOT","IDX2015","A","2008",60.97446,
"MEX","SHPRICE","TOT","IDX2015","A","2009",57.62597,
"MEX","SHPRICE","TOT","IDX2015","A","2010",75.8243,
"MEX","SHPRICE","TOT","IDX2015","A","2011",81.87281,
"MEX","SHPRICE","TOT","IDX2015","A","2012",90.55163,
"MEX","SHPRICE","TOT","IDX2015","A","2013",95.61466,
"MEX","SHPRICE","TOT","IDX2015","A","2014",96.99588,
"MEX","SHPRICE","TOT","IDX2015","A","2015",100,
"MEX","SHPRICE","TOT","IDX2015","A","2016",103.8302,
"MEX","SHPRICE","TOT","IDX2015","A","2017",111.6367,
"MEX","SHPRICE","TOT","IDX2015","A","2018",107.3901,
"TUR","SHPRICE","TOT","IDX2015","A","2000",17.9264,
"TUR","SHPRICE","TOT","IDX2015","A","2001",12.57146,
"TUR","SHPRICE","TOT","IDX2015","A","2002",13.65928,
"TUR","SHPRICE","TOT","IDX2015","A","2003",15.21517,
"TUR","SHPRICE","TOT","IDX2015","A","2004",24.65735,
"TUR","SHPRICE","TOT","IDX2015","A","2005",36.3876,
"TUR","SHPRICE","TOT","IDX2015","A","2006",49.38153,
"TUR","SHPRICE","TOT","IDX2015","A","2007",59.82186,
"TUR","SHPRICE","TOT","IDX2015","A","2008",46.64289,
"TUR","SHPRICE","TOT","IDX2015","A","2009",46.48409,
"TUR","SHPRICE","TOT","IDX2015","A","2010",73.73124,
"TUR","SHPRICE","TOT","IDX2015","A","2011",75.30019,
"TUR","SHPRICE","TOT","IDX2015","A","2012",79.03004,
"TUR","SHPRICE","TOT","IDX2015","A","2013",96.60301,
"TUR","SHPRICE","TOT","IDX2015","A","2014",93.23532,
"TUR","SHPRICE","TOT","IDX2015","A","2015",100,
"TUR","SHPRICE","TOT","IDX2015","A","2016",95.66438,
"TUR","SHPRICE","TOT","IDX2015","A","2017",122.7456,
"TUR","SHPRICE","TOT","IDX2015","A","2018",126.2624,
"GBR","SHPRICE","TOT","IDX2015","A","2000",96.60779,
"GBR","SHPRICE","TOT","IDX2015","A","2001",84.28798,
"GBR","SHPRICE","TOT","IDX2015","A","2002",69.74495,
"GBR","SHPRICE","TOT","IDX2015","A","2003",61.38608,
"GBR","SHPRICE","TOT","IDX2015","A","2004",68.56075,
"GBR","SHPRICE","TOT","IDX2015","A","2005",78.19041,
"GBR","SHPRICE","TOT","IDX2015","A","2006",89.81042,
"GBR","SHPRICE","TOT","IDX2015","A","2007",97.11161,
